date,symbol,open,close,low,high,volume
2010-01-04,AAPL,30.489999714299998,30.5728568571,30.3400001428,30.6428565714,123432400.0
2010-01-05,AAPL,30.657142571399998,30.6257132857,30.4642848571,30.7985705714,150476200.0
2010-01-06,AAPL,30.6257132857,30.1385707143,30.1071434285,30.747142857100002,138040000.0
2010-01-07,AAPL,30.25,30.082857142800002,29.864286428499998,30.2857151428,119282800.0
2010-01-08,AAPL,30.0428562857,30.2828578571,29.865715,30.2857151428,111902700.0
2010-01-11,AAPL,30.3999995714,30.0157147143,29.7785721428,30.4285717143,115557400.0
2010-01-12,AAPL,29.884285,29.6742858571,29.4885711428,29.967142142800004,148614900.0
2010-01-13,AAPL,29.695715000000003,30.0928574285,29.157142571399998,30.1328564285,151473000.0
2010-01-14,AAPL,30.0157147143,29.918571428499998,29.860000571399997,30.0657138571,108223500.0
2010-01-15,AAPL,30.1328564285,29.418571428499998,29.4099998571,30.228571000000002,148516900.0
2010-01-19,AAPL,29.7614288571,30.719999285700002,29.6057148571,30.7414284285,182501900.0
2010-01-20,AAPL,30.7014294285,30.247142857100002,29.9285717143,30.7928562857,153038200.0
2010-01-21,AAPL,30.297141999999997,29.724285142800003,29.601429,30.472856571399998,152038600.0
2010-01-22,AAPL,29.5400008571,28.25,28.165714285700002,29.6428565714,220441900.0
2010-01-25,AAPL,28.9300002857,29.010000285700002,28.598571714299997,29.242857,266424900.0
2010-01-26,AAPL,29.4214287143,29.420000142800003,28.9400005714,30.530000714299998,466777500.0
2010-01-27,AAPL,29.5499992857,29.697143571399998,28.5042858571,30.082857142800002,430642100.0
2010-01-28,AAPL,29.2757148571,28.469999285700002,28.3857135714,29.3571434285,293375600.0
2010-01-29,AAPL,28.7257137143,27.437143285700003,27.1785717143,28.8857135714,311488100.0
2010-02-01,AAPL,27.481428142800002,27.818571142800003,27.3285712857,28.0,187469100.0
2010-02-02,AAPL,27.9871425714,27.979999571399997,27.6257132857,28.045713428499997,174585600.0
2010-02-03,AAPL,27.8814277143,28.461427714299997,27.7742862857,28.6000004285,153832000.0
2010-02-04,AAPL,28.104286142800003,27.435714714299998,27.3671435714,28.3385715714,189413000.0
2010-02-05,AAPL,27.5185718571,27.9228572857,27.264286,28.0,212576700.0
2010-02-08,AAPL,27.955715142800003,27.731428142800002,27.7142848571,28.2685718571,119567700.0
2010-02-09,AAPL,28.0599994285,28.0271434285,27.8214282857,28.2142848571,158221700.0
2010-02-10,AAPL,27.9842852857,27.8742867143,27.751428571399998,28.0857142857,92590400.0
2010-02-11,AAPL,27.8400001428,28.3814277143,27.722856571399998,28.5357151428,137586400.0
2010-02-12,AAPL,28.301427857100002,28.6257132857,27.9285717143,28.805713714299998,163867200.0
2010-02-16,AAPL,28.848571714299997,29.057142285700003,28.788572285700003,29.098571714299997,135934400.0
2010-02-17,AAPL,29.170000142800003,28.935714714299998,28.694286285700002,29.187143285700003,109099200.0
2010-02-18,AAPL,28.804284999999997,28.989999714299998,28.702858000000003,29.127142,105706300.0
2010-02-19,AAPL,28.837142999999998,28.8099994285,28.729999571399997,29.0285721428,103867400.0
2010-02-22,AAPL,28.905714,28.6314277143,28.455715142800003,28.9285717143,97640900.0
2010-02-23,AAPL,28.5714282857,28.151428285700003,27.9585704285,28.7614288571,143773700.0
2010-02-24,AAPL,28.318571142800003,28.665714285700002,28.2628574285,28.7771434285,115141600.0
2010-02-25,AAPL,28.197143571399998,28.8571434285,28.127142,28.979999571399997,166281500.0
2010-02-26,AAPL,28.9114284285,29.231428142800002,28.8571434285,29.3099994285,126865200.0
2010-03-01,AAPL,29.3928565714,29.8557148571,29.3500004285,29.9285717143,137523400.0
2010-03-02,AAPL,29.989999714299998,29.8357142857,29.677143142800002,30.1185722857,141636600.0
2010-03-03,AAPL,29.848571714299997,29.9042854285,29.705715142800003,29.981428142800002,93013200.0
2010-03-04,AAPL,29.8971424285,30.101429,29.804284999999997,30.1314277143,91510300.0
2010-03-05,AAPL,30.705715142800003,31.2785721428,30.6614284285,31.3857135714,224905100.0
2010-03-08,AAPL,31.4300002857,31.297141999999997,31.1785717143,31.4414291428,107472400.0
